Tanggal,Values,
3/18/2020,SUM of Aceh,0
3/18/2020,SUM of Bali,1
3/18/2020,SUM of Banten,17
3/18/2020,SUM of Bangka Belitung,0
3/18/2020,SUM of Bengkulu,0
3/18/2020,SUM of DIY,3
3/18/2020,SUM of Jakarta,158
3/18/2020,SUM of Jambi,0
3/18/2020,SUM of Jabar,24
3/18/2020,SUM of Jateng,8
3/18/2020,SUM of Jatim,8
3/18/2020,SUM of Kalbar,2
3/18/2020,SUM of Kaltim,1
3/18/2020,SUM of Kalteng,0
3/18/2020,SUM of Kalsel,0
3/18/2020,SUM of Kaltara,0
3/18/2020,SUM of Kep Riau,1
3/18/2020,SUM of NTB,0
3/18/2020,SUM of Sumsel,0
3/18/2020,SUM of Sumbar,0
3/18/2020,SUM of Sulut,1
3/18/2020,SUM of Sumut,1
3/18/2020,SUM of Sultra,0
3/18/2020,SUM of Sulsel,0
3/18/2020,SUM of Sulteng,0
3/18/2020,SUM of Lampung,1
3/18/2020,SUM of Riau,1
3/18/2020,SUM of Maluku Utara,0
3/18/2020,SUM of Maluku,0
3/18/2020,SUM of Papua Barat,0
3/18/2020,SUM of Papua,0
3/18/2020,SUM of Sulbar,0
3/18/2020,SUM of NTT,0
3/18/2020,SUM of Gorontalo,0
3/18/2020,SUM of Z_NA,0
3/18/2020,SUM of NASIONAL,227
3/19/2020,SUM of Aceh,0
3/19/2020,SUM of Bali,1
3/19/2020,SUM of Banten,27
3/19/2020,SUM of Bangka Belitung,0
3/19/2020,SUM of Bengkulu,0
3/19/2020,SUM of DIY,4
3/19/2020,SUM of Jakarta,210
3/19/2020,SUM of Jambi,0
3/19/2020,SUM of Jabar,26
3/19/2020,SUM of Jateng,12
3/19/2020,SUM of Jatim,9
3/19/2020,SUM of Kalbar,2
3/19/2020,SUM of Kaltim,3
3/19/2020,SUM of Kalteng,0
3/19/2020,SUM of Kalsel,0
3/19/2020,SUM of Kaltara,0
3/19/2020,SUM of Kep Riau,3
3/19/2020,SUM of NTB,0
